dba,street,zipcode,searched,yelp_id,yelp_price,yelp_rating,yelp_review_count,yelp_transaction_type,yelp_is_claimed,yelp_hours,yelp_latitude,yelp_longitude,yelp_name
BROWN BETTY RESTAURANT,LIBERTY AVE,11419.0,True,UL5-lsRTZWDe7ywNkEaCjQ,$$,3.0,11.0,N;/;A,True,,40.6905248080295,-73.8137900485392,Brown Betty
PATSY'S PIZZERIA OF BAY RIDGE,3RD AVE,11209.0,True,sNu05k9J8ILFeBzLM7LCIQ,$$,3.5,74.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.6217316,-74.0319934,Patsy's Pizzeria - Bay Ridge
NORIKOH,E 39TH ST,10016.0,True,xFp3xSQ43J-i7nmJfNBsZA,$$,4.0,424.0,delivery;pickup;restaurant_reservation,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2200', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2200', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.75116,-73.98153,Norikoh
OCHA THAI CUISINE,QUEENS BLVD,11415.0,True,SOrQnn_dsHIFpmW5HTCFCw,$,3.0,38.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 0}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 1}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 2}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 3}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 4}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 5}, {'is_overnight': False, 'start': '1100', 'end': '2130', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.712604,-73.82735,Ocha Thai Cuisine
BLACK NILE SEAFOOD & SOUL FOOD,NOSTRAND AVE,11216.0,True,IPh4H0AfWk5LVplgYV9OGQ,$$,4.5,78.0,delivery;pickup,True,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '2200', 'day': 3}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 4}, {'is_overnight': False, 'start': '1130', 'end': '2300', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '2000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.67823,-73.94998000000002,Black Nile
KFC,BROADWAY,10025.0,True,mzO7pED68L5qfwm55R_tQQ,$,2.5,12.0,delivery,True,"[{'open': [{'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1030', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1030', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.8012,-73.9682,KFC
PARTY WELL RESTAURANT & ORIENTAL BAKERY,41ST AVE,11355.0,True,mnj9O1tbCKiAN5zWMe5v8w,$$,4.0,1182.0,N;/;A,False,"[{'open': [{'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 0}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 1}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 2}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 3}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 4}, {'is_overnight': True, 'start': '1130', 'end': '0100', 'day': 5}, {'is_overnight': False, 'start': '1130', 'end': '0000', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.76489,-73.81062,Picnic Garden
SEA JAMMINS CARIBBEAN CUISINE,BRONXWOOD AVE,10469.0,True,KBW0EP-prQBhkqqGJCxmXg,$$,4.0,659.0,N;/;A,True,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",40.677052379474894,-73.9634169638157,The Islands
FRITZIES BAKE SHOP,ROOSEVELT AVENUE,11377.0,True,,,,,N;/;A,True,"[{'open': [{'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 0}, {'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 1}, {'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 2}, {'is_overnight': False, 'start': '1400', 'end': '2230', 'day': 3}, {'is_overnight': False, 'start': '1300', 'end': '2230', 'day': 4}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 5}, {'is_overnight': False, 'start': '1200', 'end': '2230', 'day': 6}], 'hours_type': 'REGULAR', 'is_open_now': True}]",,,
JERUSALEM STEAKHOUSE,AVENUE J,11230.0,True,Vv5wcG5f0qAqkg7FkgjzAQ,$$,4.0,18.0,N;/;A,False,,40.625296999999996,-73.96258,Jerusalem Steak House II
